bps_kode_provinsi,bps_nama_provinsi,tahun,indeks_pembangunan_manusia,satuan
16,Sumatra Selatan,2018,69.39,Point
17,Bengkulu,2018,70.64,Point
18,Lampung,2018,69.02,Point
19,Kepulauan Bangka Belitung,2018,70.67,Point
21,Kepulauan Riau,2018,74.84,Point
31,DKI Jakarta,2018,80.47,Point
32,Jawa Barat,2018,71.3,Point
33,Jawa Tengah,2018,71.12,Point
34,DI Yogyakarta,2018,79.53,Point
35,Jawa Timur,2018,70.77,Point
36,Banten,2018,71.95,Point
51,Bali,2018,74.77,Point
52,Nusa Tenggara Barat,2018,67.3,Point
53,Nusa Tenggara Timur,2018,64.39,Point
61,Kalimantan Barat,2018,66.98,Point
62,Kalimantan Tengah,2018,70.42,Point
63,Kalimantan Selatan,2018,70.17,Point
64,Kalimantan Timur,2018,75.83,Point
65,Kalimantan Utara,2018,70.56,Point
71,Sulawesi Utara,2018,72.2,Point
72,Sulawesi Tengah,2018,68.88,Point
73,Sulawesi Selatan,2018,70.9,Point
74,Sulawesi Tenggara,2018,70.61,Point
75,Gorontalo,2018,67.71,Point
76,Sulawesi Barat,2018,65.1,Point
81,Maluku,2018,68.87,Point
82,Maluku Utara,2018,67.76,Point
91,Papua Barat,2018,63.74,Point
92,Papua Barat Daya,2018,0.0,Point
94,Papua,2018,60.06,Point
93,Papua Selatan,2018,0.0,Point
94,Papua Tengah,2018,0.0,Point
95,Papua Pegunungan,2018,0.0,Point
11,Aceh,2019,71.9,Point
12,Sumatra Utara,2019,71.74,Point
13,Sumatra Barat,2019,72.39,Point
14,Riau,2019,73.0,Point
15,Jambi,2019,71.26,Point
16,Sumatra Selatan,2019,70.02,Point
17,Bengkulu,2019,71.21,Point
18,Lampung,2019,69.57,Point
19,Kepulauan Bangka Belitung,2019,71.3,Point
21,Kepulauan Riau,2019,75.48,Point
31,DKI Jakarta,2019,80.76,Point
32,Jawa Barat,2019,72.03,Point
33,Jawa Tengah,2019,71.73,Point
34,DI Yogyakarta,2019,79.99,Point
35,Jawa Timur,2019,71.5,Point
36,Banten,2019,72.44,Point
51,Bali,2019,75.38,Point
52,Nusa Tenggara Barat,2019,68.14,Point
53,Nusa Tenggara Timur,2019,65.23,Point
61,Kalimantan Barat,2019,67.65,Point
62,Kalimantan Tengah,2019,70.91,Point
63,Kalimantan Selatan,2019,70.72,Point
64,Kalimantan Timur,2019,76.61,Point
65,Kalimantan Utara,2019,71.15,Point
71,Sulawesi Utara,2019,72.99,Point
72,Sulawesi Tengah,2019,69.5,Point
73,Sulawesi Selatan,2019,71.66,Point
74,Sulawesi Tenggara,2019,71.2,Point
75,Gorontalo,2019,68.49,Point
76,Sulawesi Barat,2019,65.73,Point
81,Maluku,2019,69.45,Point
82,Maluku Utara,2019,68.7,Point
91,Papua Barat,2019,64.7,Point
92,Papua Barat Daya,2019,0.0,Point
94,Papua,2019,60.84,Point
93,Papua Selatan,2019,0.0,Point
94,Papua Tengah,2019,0.0,Point
95,Papua Pegunungan,2019,0.0,Point
11,Aceh,2020,73.29,Point
12,Sumatra Utara,2020,73.62,Point
13,Sumatra Barat,2020,74.29,Point
14,Riau,2020,73.67,Point
15,Jambi,2020,72.29,Point
16,Sumatra Selatan,2020,71.62,Point
17,Bengkulu,2020,72.93,Point
18,Lampung,2020,71.04,Point
19,Kepulauan Bangka Belitung,2020,72.74,Point
21,Kepulauan Riau,2020,77.69,Point
31,DKI Jakarta,2020,81.92,Point
32,Jawa Barat,2020,72.61,Point
33,Jawa Tengah,2020,71.88,Point
34,DI Yogyakarta,2020,79.95,Point
35,Jawa Timur,2020,73.04,Point
36,Banten,2020,74.41,Point
51,Bali,2020,76.52,Point
52,Nusa Tenggara Barat,2020,70.46,Point
53,Nusa Tenggara Timur,2020,66.93,Point
61,Kalimantan Barat,2020,68.76,Point
62,Kalimantan Tengah,2020,72.62,Point
63,Kalimantan Selatan,2020,73.09,Point
64,Kalimantan Timur,2020,75.94,Point
65,Kalimantan Utara,2020,71.0,Point
71,Sulawesi Utara,2020,73.67,Point
72,Sulawesi Tengah,2020,70.31,Point
73,Sulawesi Selatan,2020,73.08,Point
74,Sulawesi Tenggara,2020,71.61,Point
75,Gorontalo,2020,69.51,Point
76,Sulawesi Barat,2020,68.4,Point
81,Maluku,2020,71.34,Point
82,Maluku Utara,2020,69.3,Point
91,Papua Barat,2020,65.94,Point
92,Papua Barat Daya,2020,0.0,Point
94,Papua,2020,61.22,Point
93,Papua Selatan,2020,0.0,Point
94,Papua Tengah,2020,0.0,Point
95,Papua Pegunungan,2020,0.0,Point
11,Aceh,2021,73.48,Point
12,Sumatra Utara,2021,73.84,Point
13,Sumatra Barat,2021,74.56,Point
14,Riau,2021,73.89,Point
15,Jambi,2021,72.62,Point
16,Sumatra Selatan,2021,71.83,Point
17,Bengkulu,2021,73.16,Point
18,Lampung,2021,71.25,Point
19,Kepulauan Bangka Belitung,2021,72.96,Point
21,Kepulauan Riau,2021,77.87,Point
31,DKI Jakarta,2021,82.25,Point
32,Jawa Barat,2021,72.96,Point
33,Jawa Tengah,2021,72.17,Point
34,DI Yogyakarta,2021,80.22,Point
35,Jawa Timur,2021,73.48,Point
36,Banten,2021,74.68,Point
51,Bali,2021,76.69,Point
52,Nusa Tenggara Barat,2021,70.86,Point
53,Nusa Tenggara Timur,2021,67.02,Point
61,Kalimantan Barat,2021,68.99,Point
62,Kalimantan Tengah,2021,72.81,Point
63,Kalimantan Selatan,2021,73.45,Point
64,Kalimantan Timur,2021,76.6,Point
65,Kalimantan Utara,2021,71.57,Point
71,Sulawesi Utara,2021,74.03,Point
72,Sulawesi Tengah,2021,70.54,Point
73,Sulawesi Selatan,2021,73.38,Point
74,Sulawesi Tenggara,2021,71.82,Point
75,Gorontalo,2021,69.82,Point
76,Sulawesi Barat,2021,68.64,Point
81,Maluku,2021,71.55,Point
82,Maluku Utara,2021,69.56,Point
91,Papua Barat,2021,66.11,Point
92,Papua Barat Daya,2021,0.0,Point
94,Papua,2021,61.4,Point
93,Papua Selatan,2021,0.0,Point
94,Papua Tengah,2021,0.0,Point
95,Papua Pegunungan,2021,0.0,Point
11,Aceh,2022,74.11,Point
12,Sumatra Utara,2022,74.51,Point
13,Sumatra Barat,2022,75.16,Point
14,Riau,2022,74.45,Point
15,Jambi,2022,73.11,Point
16,Sumatra Selatan,2022,72.48,Point
17,Bengkulu,2022,73.68,Point
18,Lampung,2022,71.79,Point
19,Kepulauan Bangka Belitung,2022,73.5,Point
21,Kepulauan Riau,2022,78.48,Point
31,DKI Jakarta,2022,82.77,Point
32,Jawa Barat,2022,73.63,Point
33,Jawa Tengah,2022,72.8,Point
34,DI Yogyakarta,2022,80.65,Point
35,Jawa Timur,2022,74.05,Point
36,Banten,2022,75.25,Point
51,Bali,2022,77.4,Point
52,Nusa Tenggara Barat,2022,71.65,Point
53,Nusa Tenggara Timur,2022,67.63,Point
